year-month,ing_id,ing_name,avg_stock,stock_volatility,volatility_index,risk_tier
2023-02,ing001,"Flatbread Dough (8-pack)",18.62,7.81,0.42,"Yellow Warning (Moderately Shifting)"
2023-02,ing002,"Roasted Red Peppers",22.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing003,"Goat Cheese",11.17,1.67,0.15,"Green Healthy (Rock-Solid Stability)"
2023-02,ing004,"Black Olives",26.17,1.07,0.04,"Green Healthy (Rock-Solid Stability)"
2023-02,ing005,"Sun-Dried Tomatoes",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing006,"Spicy Chicken",9.00,1.36,0.15,"Green Healthy (Rock-Solid Stability)"
2023-02,ing007,Jalapenos,17.69,3.27,0.18,"Green Healthy (Rock-Solid Stability)"
2023-02,ing008,"Smoked Gouda",10.38,2.02,0.19,"Green Healthy (Rock-Solid Stability)"
2023-02,ing009,"Chipotle Sauce",18.08,1.33,0.07,"Green Healthy (Rock-Solid Stability)"
2023-02,ing010,"Wild Mushrooms",9.38,4.5,0.48,"Yellow Warning (Moderately Shifting)"
2023-02,ing011,"Truffle Oil",4.54,1.45,0.32,"Yellow Warning (Moderately Shifting)"
2023-02,ing012,Mozzarella,17.85,2.93,0.16,"Green Healthy (Rock-Solid Stability)"
2023-02,ing013,"Fresh Spinach",13.46,2.44,0.18,"Green Healthy (Rock-Solid Stability)"
2023-02,ing014,"Italian Sausage",8.85,1.83,0.21,"Yellow Warning (Moderately Shifting)"
2023-02,ing015,"Roasted Garlic",16.77,1.37,0.08,"Green Healthy (Rock-Solid Stability)"
2023-02,ing016,"Red Onion",19.00,3.66,0.19,"Green Healthy (Rock-Solid Stability)"
2023-02,ing017,"Fresh Basil",8.69,0.72,0.08,"Green Healthy (Rock-Solid Stability)"
2023-02,ing018,"Smoked Salmon",-3.33,6.11,-1.83,"Red Alert (Wildly Volatile)"
2023-02,ing019,"Dill Cream Cheese",8.75,2.05,0.23,"Yellow Warning (Moderately Shifting)"
2023-02,ing020,Capers,9.67,0.47,0.05,"Green Healthy (Rock-Solid Stability)"
2023-02,ing021,Arugula,15.67,0.47,0.03,"Green Healthy (Rock-Solid Stability)"
2023-02,ing022,"BBQ Brisket",7.67,1.55,0.2,"Yellow Warning (Moderately Shifting)"
2023-02,ing023,"Cheddar Cheese",12.23,1.97,0.16,"Green Healthy (Rock-Solid Stability)"
2023-02,ing024,"BBQ Sauce",16.92,0.76,0.04,"Green Healthy (Rock-Solid Stability)"
2023-02,ing025,"Tandoori Chicken",9.62,1.82,0.19,"Green Healthy (Rock-Solid Stability)"
2023-02,ing026,"Mint Yogurt",12.38,0.74,0.06,"Green Healthy (Rock-Solid Stability)"
2023-02,ing027,"Green Chilli",9.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing028,"Grilled Pineapple",9.00,1.36,0.15,"Green Healthy (Rock-Solid Stability)"
2023-02,ing029,"Pulled Pork",4.85,1.66,0.34,"Yellow Warning (Moderately Shifting)"
2023-02,ing030,"Truffle Fries",20.91,3.03,0.14,"Green Healthy (Rock-Solid Stability)"
2023-02,ing031,Parmesan,10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing032,"Cauliflower Florets",16.27,2.83,0.17,"Green Healthy (Rock-Solid Stability)"
2023-02,ing033,"Buffalo Sauce",14.45,0.5,0.03,"Green Healthy (Rock-Solid Stability)"
2023-02,ing034,Ranch,14.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing035,"Garlic Knots",29.45,3.39,0.12,"Green Healthy (Rock-Solid Stability)"
2023-02,ing036,Kale,20.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing037,Spinach,14.92,1.85,0.12,"Green Healthy (Rock-Solid Stability)"
2023-02,ing038,Avocado,15.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing039,"Mixed Seeds",17.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing040,"Caramel Filling",11.67,1.75,0.15,"Green Healthy (Rock-Solid Stability)"
2023-02,ing041,"Chocolate Syrup",18.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing042,"Espresso Panna Base",10.09,1.31,0.13,"Green Healthy (Rock-Solid Stability)"
2023-02,ing043,"Vanilla Syrup",10.00,0,0,"Green Healthy (Rock-Solid Stability)"
2023-02,ing044,"Berry Mix",20.64,0.77,0.04,"Green Healthy (Rock-Solid Stability)"
2023-02,ing045,"Oat Crumble",17.18,0.39,0.02,"Green Healthy (Rock-Solid Stability)"
2023-02,ing046,"Mango Sticky Rice Mix",16.10,2.88,0.18,"Green Healthy (Rock-Solid Stability)"
2023-02,ing047,"Cold Brew Coffee",49.30,13.26,0.27,"Yellow Warning (Moderately Shifting)"
2023-02,ing048,"Cold Brew Coffee 1.5L",32.64,9.03,0.28,"Yellow Warning (Moderately Shifting)"
2023-02,ing050,"Ginger Fizz 1.5L",30.92,10.21,0.33,"Yellow Warning (Moderately Shifting)"
2023-02,ing051,"Lime Mint Sparkle 33cl",59.69,12.47,0.21,"Yellow Warning (Moderately Shifting)"
2023-02,ing052,"Lime Mint Sparkle 1.5L",27.62,10.17,0.37,"Yellow Warning (Moderately Shifting)"
2023-02,ing053,"Berry Kombucha 33cl",54.64,12.46,0.23,"Yellow Warning (Moderately Shifting)"
2023-02,ing049,"Ginger Fizz 33cl",62.00,12.65,0.2,"Yellow Warning (Moderately Shifting)"
2023-02,ing054,"Berry Kombucha 1.5L",32.80,9.97,0.3,"Yellow Warning (Moderately Shifting)"
2023-03,ing001,"Flatbread Dough (8-pack)",8.06,10.5,1.3,"Red Alert (Wildly Volatile)"
2023-03,ing002,"Roasted Red Peppers",18.57,2.01,0.11,"Green Healthy (Rock-Solid Stability)"
2023-03,ing003,"Goat Cheese",10.73,1.48,0.14,"Green Healthy (Rock-Solid Stability)"
2023-03,ing004,"Black Olives",20.57,3.42,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing005,"Sun-Dried Tomatoes",14.60,1.96,0.13,"Green Healthy (Rock-Solid Stability)"
2023-03,ing006,"Spicy Chicken",8.19,1.38,0.17,"Green Healthy (Rock-Solid Stability)"
2023-03,ing007,Jalapenos,15.84,3.11,0.2,"Yellow Warning (Moderately Shifting)"
2023-03,ing008,"Smoked Gouda",9.13,1.74,0.19,"Green Healthy (Rock-Solid Stability)"
2023-03,ing009,"Chipotle Sauce",15.84,2.3,0.15,"Green Healthy (Rock-Solid Stability)"
2023-03,ing011,"Truffle Oil",4.87,1.18,0.24,"Yellow Warning (Moderately Shifting)"
2023-03,ing012,Mozzarella,17.61,3.07,0.17,"Green Healthy (Rock-Solid Stability)"
