ing_id,ing_name,ing_weight,ing_meas,ing_price
ing001,Flatbread Dough (8-pack),2000,g,4.75
ing002,Roasted Red Peppers,1500,g,5.25
ing003,Goat Cheese,1000,g,9.9
ing004,Black Olives,1000,g,3.4
ing005,Sun-Dried Tomatoes,1000,g,4.8
ing006,Spicy Chicken,1500,g,11.99
ing007,Jalapenos,500,g,3.2
ing008,Smoked Gouda,1200,g,10.1
ing009,Chipotle Sauce,500,ml,4.3
ing010,Wild Mushrooms,800,g,6.99
ing011,Truffle Oil,200,ml,8.75
ing012,Mozzarella,2500,g,14.45
ing013,Fresh Spinach,1000,g,3.9
ing014,Italian Sausage,1000,g,12.0
ing015,Roasted Garlic,500,g,4.0
ing016,Red Onion,1000,g,2.5
ing017,Fresh Basil,200,g,2.8
ing018,Smoked Salmon,500,g,15.99
ing019,Dill Cream Cheese,800,g,7.2
ing020,Capers,400,g,4.4
ing021,Arugula,1000,g,4.1
ing022,BBQ Brisket,1000,g,13.8
ing023,Cheddar Cheese,1200,g,8.4
ing024,BBQ Sauce,500,ml,20.0
ing025,Tandoori Chicken,1200,g,10.5
ing026,Mint Yogurt,500,ml,3.6
ing027,Green Chilli,300,g,2.49
ing028,Grilled Pineapple,1000,g,6.7
ing029,Pulled Pork,1000,g,9.5
ing030,Truffle Fries,1500,g,6.99
ing031,Parmesan,250,g,11.0
ing032,Cauliflower Florets,1500,g,4.5
ing033,Buffalo Sauce,300,ml,2.9
ing034,Ranch,425,ml,5.47
ing035,Garlic Knots,1000,g,5.0
ing036,Kale,800,g,3.7
ing037,Spinach,227,g,3.47
ing038,Avocado,1000,g,7.5
ing039,Mixed Seeds,300,g,4.2
ing040,Caramel Filling,500,g,5.3
ing041,Chocolate Syrup,700,ml,4.97
ing042,Espresso Panna Base,1000,g,6.0
ing043,Vanilla Syrup,750,ml,12.47
ing044,Berry Mix,1000,g,5.4
ing045,Oat Crumble,600,g,3.6
ing046,Mango Sticky Rice Mix,1000,g,4.4
ing047,Cold Brew Coffee,330,ml,1.9
ing048,Cold Brew Coffee 1.5L,1500,ml,4.2
ing049,Ginger Fizz 33cl,330,ml,1.8
ing050,Ginger Fizz 1.5L,1500,ml,4.0
ing051,Lime Mint Sparkle 33cl,330,ml,1.75
ing052,Lime Mint Sparkle 1.5L,1500,ml,4.0
ing053,Berry Kombucha 33cl,330,ml,2.2
ing054,Berry Kombucha 1.5L,1500,ml,5.0
