item_id,sku,item_name,item_cat,item_size,item_price,new_item_price
it001,FLA-MED-REG,Mediterraneo,"Flatbread Pizza",Regular,17.99,30.60
it002,FLA-MED-LAR,Mediterraneo,"Flatbread Pizza",Large,21.99,37.40
it003,FLA-SPI-REG,"Spicy Ember","Flatbread Pizza",Regular,18.99,32.30
it004,FLA-SPI-LAR,"Spicy Ember","Flatbread Pizza",Large,22.99,39.10
it005,FLA-FOR-REG,"Forest Feast","Flatbread Pizza",Regular,18.99,32.30
it006,FLA-FOR-LAR,"Forest Feast","Flatbread Pizza",Large,22.99,39.10
it007,FLA-BRO-REG,"Brooklyn Bold","Flatbread Pizza",Regular,20.99,35.70
it008,FLA-BRO-LAR,"Brooklyn Bold","Flatbread Pizza",Large,24.49,41.60
it009,SIG-NOR-REG,"Nordic Wave","Signature Pizza",Regular,17.49,29.70
it010,SIG-NOR-LAR,"Nordic Wave","Signature Pizza",Large,23.99,40.80
it011,SIG-TEX-REG,"Texan BBQ","Signature Pizza",Regular,17.99,30.60
it012,SIG-TEX-LAR,"Texan BBQ","Signature Pizza",Large,24.49,41.60
it013,SIG-TAN-REG,"Tandoori Fire","Signature Pizza",Regular,20.49,34.80
it014,SIG-TAN-LAR,"Tandoori Fire","Signature Pizza",Large,24.99,42.50
it015,SIG-TRO-REG,"Tropic Thunder","Signature Pizza",Regular,17.99,30.60
it016,SIG-TRO-LAR,"Tropic Thunder","Signature Pizza",Large,23.99,40.80
it017,SID-TRU-REG,"Truffle Fries",Side,Regular,8.99,15.30
it018,SID-CAU-REG,"Cauliflower Bites",Side,Regular,7.99,13.60
it019,SID-GAR-REG,"Garlic Knot Bombs",Side,Regular,6.99,11.90
it020,SID-SUP-REG,"Super Green Salad",Side,Regular,7.49,12.70
it021,DES-SAL-REG,"Salted Caramel Tart",Dessert,Regular,6.99,11.90
it022,DES-ESP-REG,"Espresso Panna Cotta",Dessert,Regular,6.49,11.00
it023,DES-BER-REG,"Berry Crumble Cup",Dessert,Regular,5.99,10.20
it024,DES-MAN-REG,"Mango Sticky Rice",Dessert,Regular,6.99,11.90
it025,BEV-COL-33,"Cold Brew Coffee",Beverage,33cl,3.99,6.80
it026,BEV-COL-1500,"Cold Brew Coffee",Beverage,1.5L,8.99,15.30
it027,BEV-GIN-33,"Ginger Fizz",Beverage,33cl,2.99,5.10
it028,BEV-GIN-1500,"Ginger Fizz",Beverage,1.5L,5.99,10.20
it029,BEV-LIM-33,"Lime Mint Sparkle",Beverage,33cl,3.49,5.90
it030,BEV-LIM-1500,"Lime Mint Sparkle",Beverage,1.5L,5.49,9.30
it031,BEV-BER-33,"Berry Kombucha",Beverage,33cl,3.49,5.90
it032,BEV-BER-1500,"Berry Kombucha",Beverage,1.5L,6.99,11.90
