snapshot_date,ing_id,ing_name,percentage_stock_remaining,reorder_flag
2023-02-16,ing001,"Flatbread Dough (8-pack)",89.47,OK
2023-02-16,ing002,"Roasted Red Peppers",100.00,OK
2023-02-16,ing003,"Goat Cheese",93.33,OK
2023-02-16,ing004,"Black Olives",100.00,OK
2023-02-16,ing005,"Sun-Dried Tomatoes",100.00,OK
2023-02-16,ing006,"Spicy Chicken",91.67,OK
2023-02-16,ing007,Jalapenos,92.00,OK
2023-02-16,ing008,"Smoked Gouda",92.86,OK
2023-02-16,ing009,"Chipotle Sauce",100.00,OK
2023-02-16,ing010,"Wild Mushrooms",94.44,OK
2023-02-16,ing011,"Truffle Oil",87.50,OK
2023-02-16,ing012,Mozzarella,95.83,OK
2023-02-16,ing013,"Fresh Spinach",100.00,OK
2023-02-16,ing014,"Italian Sausage",92.31,OK
2023-02-16,ing015,"Roasted Garlic",100.00,OK
2023-02-16,ing016,"Red Onion",96.15,OK
2023-02-16,ing017,"Fresh Basil",100.00,OK
2023-02-16,ing018,"Smoked Salmon",55.56,"Re-Order Required"
2023-02-16,ing019,"Dill Cream Cheese",85.71,OK
2023-02-16,ing020,Capers,90.91,OK
2023-02-16,ing021,Arugula,94.12,OK
2023-02-16,ing022,"BBQ Brisket",90.91,OK
2023-02-16,ing023,"Cheddar Cheese",93.75,OK
2023-02-16,ing024,"BBQ Sauce",100.00,OK
2023-02-16,ing025,"Tandoori Chicken",100.00,OK
2023-02-16,ing026,"Mint Yogurt",100.00,OK
2023-02-16,ing027,"Green Chilli",100.00,OK
2023-02-16,ing028,"Grilled Pineapple",84.62,OK
2023-02-16,ing029,"Pulled Pork",70.00,OK
2023-02-16,ing030,"Truffle Fries",96.15,OK
2023-02-16,ing031,Parmesan,100.00,OK
2023-02-16,ing032,"Cauliflower Florets",95.45,OK
2023-02-16,ing033,"Buffalo Sauce",100.00,OK
2023-02-16,ing034,Ranch,100.00,OK
2023-02-16,ing035,"Garlic Knots",100.00,OK
2023-02-16,ing036,Kale,100.00,OK
